# Gene Family	demo_Abundance-CPM
UniRef90_A0A396ESL5	300.929
UniRef90_A0A396ESL5|g__Bacteroides.s__Bacteroides_vulgatus	300.929
UniRef90_A0A0P0LPA8	300.045
UniRef90_A0A0P0LPA8|g__Bacteroides.s__Bacteroides_vulgatus	300.045
UniRef90_A0A076IWI5	299.799
UniRef90_A0A076IWI5|g__Bacteroides.s__Bacteroides_vulgatus	299.799
UniRef90_A0A069SHN4	298.538
UniRef90_A0A069SHN4|g__Bacteroides.s__Bacteroides_vulgatus	298.538
UniRef90_A6L7T5	297.344
UniRef90_A6L7T5|g__Bacteroides.s__Bacteroides_vulgatus	297.344
UniRef90_A0A078R0W0	295.993
UniRef90_A0A078R0W0|g__Bacteroides.s__Bacteroides_vulgatus	295.993
UniRef90_A0A076IQI3	295.653
UniRef90_A0A076IQI3|g__Bacteroides.s__Bacteroides_vulgatus	295.653
UniRef90_D1KAH7	294.474
UniRef90_D1KAH7|g__Bacteroides.s__Bacteroides_vulgatus	294.474
UniRef90_A6L330	293.126
UniRef90_A6L330|g__Bacteroides.s__Bacteroides_vulgatus	293.126
UniRef90_A0A174NQE1	292.799
UniRef90_A0A174NQE1|g__Bacteroides.s__Bacteroides_vulgatus	292.799
UniRef90_A0A395UIQ2	292.573
UniRef90_A0A395UIQ2|g__Bacteroides.s__Bacteroides_vulgatus	292.573
UniRef90_D4V3D2	291.052
UniRef90_D4V3D2|g__Bacteroides.s__Bacteroides_vulgatus	291.052
UniRef90_A6KXA6	289.315
UniRef90_A6KXA6|g__Bacteroides.s__Bacteroides_vulgatus	289.315
UniRef90_A0A1Q6HYS0	287.742
UniRef90_A0A1Q6HYS0|g__Bacteroides.s__Bacteroides_vulgatus	287.742
UniRef90_A6L5J0	287.286
UniRef90_A6L5J0|g__Bacteroides.s__Bacteroides_vulgatus	287.286
UniRef90_C3R9S9	286.553
UniRef90_C3R9S9|g__Bacteroides.s__Bacteroides_vulgatus	286.553
UniRef90_A0A0P0LH34	284.592
UniRef90_A0A0P0LH34|g__Bacteroides.s__Bacteroides_vulgatus	284.592
UniRef90_A0A076IYH9	283.827
UniRef90_A0A076IYH9|g__Bacteroides.s__Bacteroides_vulgatus	283.827
UniRef90_A0A076IND8	283.009
UniRef90_A0A076IND8|g__Bacteroides.s__Bacteroides_vulgatus	283.009
UniRef90_C3R8X7	281.823
UniRef90_C3R8X7|g__Bacteroides.s__Bacteroides_vulgatus	281.823
UniRef90_A6L391	280.702
UniRef90_A6L391|g__Bacteroides.s__Bacteroides_vulgatus	280.702
UniRef90_A0A174P1Q8	280.193
UniRef90_A0A174P1Q8|g__Bacteroides.s__Bacteroides_vulgatus	280.193
UniRef90_A6KXY5	279.982
UniRef90_A6KXY5|g__Bacteroides.s__Bacteroides_vulgatus	279.982
UniRef90_A0A1Y3ZE18	277.015
UniRef90_A0A1Y3ZE18|g__Bacteroides.s__Bacteroides_vulgatus	277.015
UniRef90_A0A174M183	276.749
